region,Date,type,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
Northern New England,2018-04-22 0:00,Conventional,1.16,517746.32,49813.73,374439.93,1975.4,91517.26,35552.88,54736.6,1227.78
Orlando,2018-04-22 0:00,Conventional,1.22,469150.86,300087.64,24609.82,2468.96,141984.44,89486.91,52284.2,213.33
Philadelphia,2018-04-22 0:00,Conventional,1.26,543651.03,50862.56,268484.88,493.06,223810.53,205895.06,15980.11,1935.36
Phoenix/Tucson,2018-04-22 0:00,Conventional,0.77,1256268.72,538106.78,275565.8,13854.36,428741.78,223920.92,198945.87,5874.99
Pittsburgh,2018-04-22 0:00,Conventional,1.29,150489.51,41354.17,20711.17,1903.84,86520.33,44001.65,42515.35,3.33
Plains,2018-04-22 0:00,Conventional,1.05,2382979.49,952761.91,627802.38,13419.15,788996.05,721861.62,51500.25,15634.18
Portland,2018-04-22 0:00,Conventional,1.04,757553.88,79581.03,333707.07,19726.73,324539.05,135670.44,187228.19,1640.42
Raleigh/Greensboro,2018-04-22 0:00,Conventional,1.25,383029.47,115510.04,114770.91,6085.09,146663.43,134537.99,12119.89,5.55
Richmond/Norfolk,2018-04-22 0:00,Conventional,1.19,295719.93,61496.12,98523.31,2578.29,133122.21,113238.59,17450.29,2433.33
Roanoke,2018-04-22 0:00,Conventional,1.07,188622.73,49703.92,39739.1,470.01,98709.7,79742.14,17768.05,1199.51
Sacramento,2018-04-22 0:00,Conventional,1.15,583816.07,155567.66,358683.09,936.54,68628.78,59635.37,1751.66,7241.75
San Diego,2018-04-22 0:00,Conventional,1.13,512420.25,142432.79,185700.69,15493.81,168792.96,158846.84,7676.12,2270
San Francisco,2018-04-22 0:00,Conventional,0.97,1334224.75,270423.2,955734.78,1624.46,106442.31,101299.73,881.52,4261.06
Seattle,2018-04-22 0:00,Conventional,1.23,671486.39,147691.93,212078.27,1472.59,310243.6,122807.1,185982.94,1453.56
South Carolina,2018-04-22 0:00,Conventional,1.13,473705.97,222700.53,75058.4,4582.96,171364.08,131332.08,36874.04,3157.96
South Central,2018-04-22 0:00,Conventional,0.71,8712434.41,4130867.94,1051789.12,38885.72,3490891.63,2604855.25,809183.58,76852.8
Southeast,2018-04-22 0:00,Conventional,1.18,4736965.36,2727435.77,343132.92,22357.17,1644039.5,1116651.53,516011.97,11376
Spokane,2018-04-22 0:00,Conventional,1.11,121225.67,30961.1,41005.17,550.74,48708.66,21609.04,26865.69,233.93
St. Louis,2018-04-22 0:00,Conventional,1.31,182741.77,76290.96,11039.84,817.58,94593.39,73044.1,9705.62,11843.67
Syracuse,2018-04-22 0:00,Conventional,1.19,89555.63,9674.6,42876.68,536.03,36468.32,9473.88,26994.44,0
Tampa,2018-04-22 0:00,Conventional,1.34,506539.5,328850.96,32772.03,1705.47,143211.04,85161.04,57883.33,166.67
West,2018-04-22 0:00,Conventional,1.01,7726819.22,2258748.09,2042029.37,154651.03,3271390.73,1299838.95,1950333.33,21218.45
West Tex/New Mexico,2018-04-22 0:00,Conventional,0.81,1084508.39,485837.02,238638.82,12623.93,347408.62,133774.33,211135.45,2498.84
Total U.S.,2018-04-29 0:00,Conventional,1.07,43856758.99,14254036.95,13240108.54,744030.09,15618583.41,11122006.81,4208203.84,288372.76
Albany,2018-04-29 0:00,Conventional,0.95,170690.04,20434.59,124306.73,62.75,25885.97,17861.52,7630.01,394.44
Atlanta,2018-04-29 0:00,Conventional,0.98,766871.65,361052.47,40992.11,2241.25,362585.82,231651.1,128842.49,2092.23
Baltimore/Washington,2018-04-29 0:00,Conventional,1.11,1256281.65,112374.92,854671.32,6209.62,283025.79,270669.27,12296.52,60
Boise,2018-04-29 0:00,Conventional,1.19,111308.13,46666.75,4029.44,13051.92,47560.02,26234.97,21224.86,100.19
Boston,2018-04-29 0:00,Conventional,1.08,883607.95,26040.67,730367.87,1100.96,126098.45,83226.21,40942.24,1930
Buffalo/Rochester,2018-04-29 0:00,Conventional,1.16,193797.84,18315.85,82542.49,64.56,92874.94,17134.64,75085.86,654.44
California,2018-04-29 0:00,Conventional,1.16,6375659.22,2011500.55,2361398.37,101999.26,1900761.04,1756488.68,45676.27,98596.09
Charlotte,2018-04-29 0:00,Conventional,1.26,304727.34,88734.27,92065.33,6392.03,117535.71,100120.52,17414.08,1.11
Chicago,2018-04-29 0:00,Conventional,1.45,821127.9,67346.3,437465.46,172602.28,143713.86,123696.08,18648.56,1369.22
Cincinnati/Dayton,2018-04-29 0:00,Conventional,0.89,328610.51,79271.94,26266.39,9349.53,213722.65,197690.65,15890.08,141.92
Columbus,2018-04-29 0:00,Conventional,1.01,195297.83,52829.19,23273.14,3688.9,115506.6,77188.99,38308.23,9.38
Dallas/Ft. Worth,2018-04-29 0:00,Conventional,0.85,1321951.16,674131.83,179488.66,7407.26,460923.41,318137.7,124395.86,18389.85
Denver,2018-04-29 0:00,Conventional,1.14,970135,198818.47,214184.88,16782.37,540349.28,171567.44,368780.73,1.11
Detroit,2018-04-29 0:00,Conventional,1.14,423875.4,93285.3,49179.81,39956.28,241454.01,199363.28,27213.69,14877.04
Grand Rapids,2018-04-29 0:00,Conventional,1.5,182539.21,2934.81,74364.33,46019.94,59220.13,41229.37,5830.21,12160.55
Great Lakes,2018-04-29 0:00,Conventional,1.21,3917834.41,697966.52,1073237.17,387268.63,1759362.09,1291842.65,413076.14,54443.3
Harrisburg/Scranton,2018-04-29 0:00,Conventional,1.09,356561.21,87068.21,149428.06,461.31,119603.63,112264.59,5022.38,2316.66
Hartford/Springfield,2018-04-29 0:00,Conventional,1.1,500917.41,17312.52,403849.14,394.98,79360.77,75882.42,1440.58,2037.77
Houston,2018-04-29 0:00,Conventional,0.78,1442429.41,603714.79,247557.65,7174.88,583982.09,477091.99,106421.21,468.89
Indianapolis,2018-04-29 0:00,Conventional,1.18,177282.97,37834.74,41106.97,6186.32,92154.94,71385.81,18814.02,1955.11
Jacksonville,2018-04-29 0:00,Conventional,1.08,279716.84,164344.06,14100.24,747.25,100525.29,41572.7,58872.59,80
Las Vegas,2018-04-29 0:00,Conventional,1.09,396075.04,90855.41,124813.67,7449.64,172956.32,87879.46,84504.64,572.22
Los Angeles,2018-04-29 0:00,Conventional,1.06,3165706.56,1042854.85,772407.22,69147.43,1281297.06,1180496.53,32636.18,68164.35
Louisville,2018-04-29 0:00,Conventional,1.09,116515.59,30382.38,22229.93,290.1,63613.18,40044.24,22114.49,1454.45
Miami/Ft. Lauderdale,2018-04-29 0:00,Conventional,1.11,1068549.83,716245.53,83811.58,1692.64,266800.08,122406.65,144296.76,96.67
Midsouth,2018-04-29 0:00,Conventional,1.12,4293974.11,986343.28,1707289.64,31162.38,1569178.81,1304315.78,253292.54,11570.49
Nashville,2018-04-29 0:00,Conventional,1,293893.89,128304.93,11488.61,1018.6,153081.75,111093.76,39894.66,2093.33
New Orleans/Mobile,2018-04-29 0:00,Conventional,0.97,386294.92,228700.64,24109.92,3084,130400.36,109811.42,20205.61,383.33
New York,2018-04-29 0:00,Conventional,1.13,2484852.67,79588.14,1525333.63,730.79,879200.11,841609.78,33777.4,3812.93
Northeast,2018-04-29 0:00,Conventional,1.1,6678816.69,491153.09,4127180.87,7483.91,2052998.82,1638465.85,397243.88,17289.09
Northern New England,2018-04-29 0:00,Conventional,1.05,576647.79,43577.69,431900.36,1177.56,99992.18,32903.66,65904.08,1184.44
Orlando,2018-04-29 0:00,Conventional,1.08,603825.4,376130.4,36491.57,2388.2,188815.23,99212.92,89385.64,216.67
Philadelphia,2018-04-29 0:00,Conventional,1.13,635262.78,53018.91,271103.57,673.43,310466.87,283411.14,24744.62,2311.11
Phoenix/Tucson,2018-04-29 0:00,Conventional,0.71,1372259.3,653502.64,272551.44,13261.26,432943.96,239807.88,188254.97,4881.11
Pittsburgh,2018-04-29 0:00,Conventional,0.99,204292.73,63924.7,26737.89,2628.11,111002.03,38685.05,72296.98,20
Plains,2018-04-29 0:00,Conventional,1.1,2390888.95,951221.42,671829.8,22281.92,745555.81,665169.94,64202.37,16183.5
Portland,2018-04-29 0:00,Conventional,1.16,737447.07,76793.88,303275.95,19593.77,337783.47,135205.74,201335.1,1242.63
Raleigh/Greensboro,2018-04-29 0:00,Conventional,1.23,404605.55,125820.43,121024.08,6048.48,151712.56,135535.06,16176.39,1.11
Richmond/Norfolk,2018-04-29 0:00,Conventional,1.18,325216.56,58386.1,115451.21,2746.82,148632.43,125042.82,23312.94,276.67
Roanoke,2018-04-29 0:00,Conventional,1.08,195489.72,50077.1,45273.77,460.45,99678.4,78176.82,20998.25,503.33
Sacramento,2018-04-29 0:00,Conventional,1.34,479557.36,147202.39,253728.49,979.37,77647.11,69915.49,2317.62,5414
San Diego,2018-04-29 0:00,Conventional,1.06,580811.76,137094.31,267253.97,16056.62,160406.86,149416.57,8080.29,2910
San Francisco,2018-04-29 0:00,Conventional,1.44,771379.01,208864.27,426989.35,1761.65,133763.74,129591.86,252.19,3919.69
Seattle,2018-04-29 0:00,Conventional,1.43,561718.39,99270.62,162524.87,1308.39,298614.51,146776.63,151309.76,528.12
South Carolina,2018-04-29 0:00,Conventional,1.09,544533.07,263653.33,80270.8,4543.92,196065.02,130750.37,62190.21,3124.44
South Central,2018-04-29 0:00,Conventional,0.86,6794652.03,3287421.1,1053432.72,40551.47,2413246.74,1842906.83,505287.53,65052.38
Southeast,2018-04-29 0:00,Conventional,1.06,5998471.73,3494497.23,436659.43,21630.63,2045684.44,1170245.11,864882.66,10556.67
Spokane,2018-04-29 0:00,Conventional,1.27,100922.54,23589.63,28876.34,487.56,47969.01,26558.44,21323.13,87.44
St. Louis,2018-04-29 0:00,Conventional,1.23,216822.17,100380.18,11130.4,650.71,104660.88,79527.98,12757.54,12375.36
Syracuse,2018-04-29 0:00,Conventional,1.05,100592.67,11601.87,54174.74,168,34648.06,7659.66,26988.4,0
Tampa,2018-04-29 0:00,Conventional,1.1,707713.59,454561.43,53075.55,1824.15,198252.46,92277.4,105785.06,190
West,2018-04-29 0:00,Conventional,1.05,7406461.8,2333933.76,1809080.54,131651.89,3131795.61,1452571.96,1664542.4,14681.25
West Tex/New Mexico,2018-04-29 0:00,Conventional,0.84,971399.59,487558.2,157514.77,9682.25,316644.37,166527.06,147615.09,2502.22
Total U.S.,2018-05-06 0:00,Conventional,0.89,63716144.15,21137400.46,19900871.87,1052499.15,21625372.67,15436246.72,5840414.83,348711.12
Albany,2018-05-06 0:00,Conventional,1.09,195176.41,19613.6,158074.08,194.48,17294.25,14405.25,2258.72,630.28
Atlanta,2018-05-06 0:00,Conventional,0.83,1115414.22,555643.88,50123.87,2646.48,506999.99,359891.85,144091.47,3016.67
Baltimore/Washington,2018-05-06 0:00,Conventional,1.04,1416788.72,144669.46,875764.21,7636.36,388718.69,374342.77,14182.59,193.33
Boise,2018-05-06 0:00,Conventional,1.01,146195.48,72777.74,5644.99,10658.57,57114.18,28181,28899.07,34.11
Boston,2018-05-06 0:00,Conventional,1.07,951681.75,33402.52,781710.93,1089.85,135478.45,96954.41,36599.6,1924.44
Buffalo/Rochester,2018-05-06 0:00,Conventional,1.12,223134,17063.47,105108.38,128.05,100834.1,18250.94,81503.16,1080
California,2018-05-06 0:00,Conventional,0.85,10094234.35,3254794.46,3610156.5,105864.37,3123419.02,2796915.41,240425.99,86077.62
Charlotte,2018-05-06 0:00,Conventional,0.93,465904.9,97209.58,140064.93,7034.47,221595.92,203734.24,17860.57,1.11
Chicago,2018-05-06 0:00,Conventional,1.03,1405374.09,173205.76,888523.81,176808.41,166836.11,137145.05,27874.25,1816.81
Cincinnati/Dayton,2018-05-06 0:00,Conventional,0.73,505491.26,149794.12,50908.39,17667.4,287121.35,264709.59,22334.4,77.36
Columbus,2018-05-06 0:00,Conventional,0.74,402841.56,140345.44,46356.27,7716.64,208423.21,160436.36,47951.91,34.94
Dallas/Ft. Worth,2018-05-06 0:00,Conventional,0.69,1960909.65,981185.41,261943.81,8333.21,709447.22,586525.7,103747.07,19174.45
Denver,2018-05-06 0:00,Conventional,0.94,1293645.42,215263.19,401440.6,14591.22,662350.41,150153.18,512197.23,0
Detroit,2018-05-06 0:00,Conventional,0.79,886942.76,272152.76,104921.43,120334.12,389534.45,324690.23,19686.59,45157.63
Grand Rapids,2018-05-06 0:00,Conventional,1.03,323230.45,4737.91,144143.3,110032.15,64317.09,32741.25,4516.58,27059.26
Great Lakes,2018-05-06 0:00,Conventional,0.87,7059591.58,1699936,2002016.44,677077.54,2680561.6,2101793.75,456985.01,121782.84
Harrisburg/Scranton,2018-05-06 0:00,Conventional,1.08,430247.11,95982.08,203448.51,598.38,130218.14,122087.75,5709.37,2421.02
Hartford/Springfield,2018-05-06 0:00,Conventional,1.07,634308.9,22645.59,532183.14,1183.6,78296.57,70604.4,5863.3,1828.87
Houston,2018-05-06 0:00,Conventional,0.62,2276760.73,1070754.76,165066.97,4716.97,1036222.03,909763.4,125364.19,1094.44
Indianapolis,2018-05-06 0:00,Conventional,0.84,336113.25,113742.68,75670.69,9695.88,137004,112697,22821.03,1485.97
Jacksonville,2018-05-06 0:00,Conventional,0.94,353212.79,200574.52,17231.21,863.81,134543.25,52886.16,81380.42,276.67
Las Vegas,2018-05-06 0:00,Conventional,1.03,478067.88,101631.11,148709.68,10958.84,216768.25,80902.65,135152.27,713.33
Los Angeles,2018-05-06 0:00,Conventional,0.84,4576287.5,1597424.84,701162.62,71431.52,2206268.52,2011254.18,137804.97,57209.37
Louisville,2018-05-06 0:00,Conventional,0.85,196897.26,68013.95,28880.78,314.93,99687.6,76572.65,21545.32,1569.63
Miami/Ft. Lauderdale,2018-05-06 0:00,Conventional,0.96,1331567.2,904640.07,106692.43,2050.1,318184.6,122202.46,195762.14,220
Midsouth,2018-05-06 0:00,Conventional,0.91,6168571.61,1517158.74,2206856.47,37074.19,2407482.21,2096341.25,297642.12,13498.84
Nashville,2018-05-06 0:00,Conventional,0.78,449995.2,224951.53,17620.4,1019.19,206404.08,167865.35,36067.62,2471.11
New Orleans/Mobile,2018-05-06 0:00,Conventional,0.93,447860.29,270909.37,31936.34,3216,141798.58,114035.31,26786.6,976.67
New York,2018-05-06 0:00,Conventional,1.18,3671266.93,100918.95,2938207.28,5071.74,627068.96,569204.33,53858.96,4005.67
Northeast,2018-05-06 0:00,Conventional,1.12,8836406.22,578523.59,6533192.79,14510.37,1710179.47,1284830.2,406766.32,18582.95
Northern New England,2018-05-06 0:00,Conventional,0.95,917983.95,62514.54,783924.96,1047.99,70496.46,37279.64,31923.49,1293.33
Orlando,2018-05-06 0:00,Conventional,0.95,752162.24,489577.93,47140.36,2413.72,213030.23,103124.05,109332.85,573.33
Philadelphia,2018-05-06 0:00,Conventional,1.19,836788.62,61022.68,536095.28,1186.33,238484.33,202017.82,34285.06,2181.45
Phoenix/Tucson,2018-05-06 0:00,Conventional,0.68,1672663.29,718786.81,362371.73,16333.47,575171.28,205328.99,363848.95,5993.34
Pittsburgh,2018-05-06 0:00,Conventional,0.97,234225.88,78192.59,35056.29,3271.76,117705.24,37541.64,80100.27,63.33
Plains,2018-05-06 0:00,Conventional,0.91,3514863.13,1603547.56,901110.33,16163.1,994042.14,902113.09,79785.65,12143.4
Portland,2018-05-06 0:00,Conventional,0.91,1056261.3,92089.98,502567.33,21893.12,439710.87,157001.47,281963.47,745.93
Raleigh/Greensboro,2018-05-06 0:00,Conventional,0.91,619710.6,154942.66,187490.29,6989.28,270288.37,253608.47,16679.9,0
Richmond/Norfolk,2018-05-06 0:00,Conventional,0.81,574105.16,122473.52,200689.91,2706.88,248234.85,206040.49,41594.36,600
Roanoke,2018-05-06 0:00,Conventional,0.78,352261.54,91242.42,88887.54,617.85,171513.73,137347.21,33635.41,531.11
Sacramento,2018-05-06 0:00,Conventional,0.89,819053.65,239937.6,492858.71,876.71,85380.63,76925.2,1835.34,6620.09
San Diego,2018-05-06 0:00,Conventional,0.83,795859.54,192311.64,268307.79,16457.61,318782.5,246911.78,70075.17,1795.55
San Francisco,2018-05-06 0:00,Conventional,0.87,1626642.95,449327.43,1016977,2084.07,158254.45,153510.72,414.24,4329.49
Seattle,2018-05-06 0:00,Conventional,1.14,966683.84,173288.95,283864.22,2022.4,507508.27,150987.02,356005.31,515.94
South Carolina,2018-05-06 0:00,Conventional,0.92,729414.11,333679.95,121034.35,5045.71,269654.1,191649.77,74475.44,3528.89
South Central,2018-05-06 0:00,Conventional,0.7,10252748.73,5114198.2,1195083.71,40333.32,3903133.5,3339666.12,498813.87,64653.51
Southeast,2018-05-06 0:00,Conventional,0.91,7810474.62,4571702.16,581571.34,24108.7,2633092.42,1527428.17,1091677.59,13986.66
Spokane,2018-05-06 0:00,Conventional,1.09,151408.12,35704.08,50218.57,2506.44,62979.03,24554.21,38330.52,94.3
St. Louis,2018-05-06 0:00,Conventional,1.04,328505.11,159076.15,9551.57,776.66,159100.73,124584.92,25523.13,8992.68
Syracuse,2018-05-06 0:00,Conventional,1.09,115458.78,12284.78,63510.57,333.64,39329.79,10503.51,28826.28,0
Tampa,2018-05-06 0:00,Conventional,0.95,839628.48,547096.41,67799.38,1790.65,222942.04,98687.17,123854.87,400
West,2018-05-06 0:00,Conventional,0.91,9979253.96,2797539.75,2870884.29,137367.56,4173462.36,1387158.83,2768318.24,17985.29
West Tex/New Mexico,2018-05-06 0:00,Conventional,0.79,1214824.11,522254.44,308178.4,17432.48,366958.79,163758.04,200547.42,2653.33
Total U.S.,2018-05-13 0:00,Conventional,1,46371245.84,15432480.06,12367251.74,759855.73,17811658.31,13110016.21,4432536.78,269105.32
Albany,2018-05-13 0:00,Conventional,1.26,141423.42,17401.16,97654.08,102.24,26265.94,21239.35,4413.26,613.33
Atlanta,2018-05-13 0:00,Conventional,0.88,818921.18,389662.86,38773.86,2356.61,388127.85,290031.42,95886.43,2210
Baltimore/Washington,2018-05-13 0:00,Conventional,1.21,1100047.2,110543.5,710433.19,16919.57,262150.94,249688.08,12366.19,96.67
Boise,2018-05-13 0:00,Conventional,1.12,117958.6,47996.15,5674.48,11987.94,52300.03,25806.23,26407.28,86.52
Boston,2018-05-13 0:00,Conventional,1.09,884528.06,29898.55,724162.93,966.74,129499.84,95608.5,31914.67,1976.67
Buffalo/Rochester,2018-05-13 0:00,Conventional,1.13,204317.09,18256.01,84677.89,106.28,101276.91,27283.72,73149.86,843.33
California,2018-05-13 0:00,Conventional,1.05,6788833.84,2571518.16,1741569.28,105679.43,2370066.97,2185146.59,92421.81,92498.57
Charlotte,2018-05-13 0:00,Conventional,1.23,295237.78,82331.63,83052.05,6355.81,123498.29,110260.91,13237.38,0
Chicago,2018-05-13 0:00,Conventional,1.21,939728.44,104787.38,509295.96,170505.56,155139.54,136319.9,17232.39,1587.25
Cincinnati/Dayton,2018-05-13 0:00,Conventional,0.84,306515.57,98402.02,27297.53,14751.47,166064.55,150412.67,15576.37,75.51
Columbus,2018-05-13 0:00,Conventional,0.81,269775.97,85823.85,25345.99,4764.52,153841.61,118613.76,35209.86,17.99
Dallas/Ft. Worth,2018-05-13 0:00,Conventional,0.75,1626471.86,769665.74,216147.49,9271.91,631386.72,522969.94,89091.3,19325.48
Denver,2018-05-13 0:00,Conventional,0.93,1149303.87,196880.53,254419.46,18414.49,679589.39,150627.99,528961.4,0
Detroit,2018-05-13 0:00,Conventional,0.96,542545.01,146822.07,49441.52,45447.22,300834.2,276542.69,15774.6,8516.91
Grand Rapids,2018-05-13 0:00,Conventional,1.44,189642.33,3372.66,73354.21,46572.64,66342.82,50212.63,3409.6,12720.59
Great Lakes,2018-05-13 0:00,Conventional,1.03,4619011.81,1042439.17,1113940.91,398194.14,2064437.59,1698065.65,319565.58,46806.36
Harrisburg/Scranton,2018-05-13 0:00,Conventional,1.06,411718.28,98220.74,187960.19,506.86,125030.49,117234.27,5023.05,2773.17
Hartford/Springfield,2018-05-13 0:00,Conventional,1.12,497433.85,23455.12,393654.53,494.31,79829.89,75769,2145.33,1915.56
Houston,2018-05-13 0:00,Conventional,0.54,2091311.46,868040.37,167908.14,4423.57,1050939.38,933354.91,116826.69,757.78
Indianapolis,2018-05-13 0:00,Conventional,0.96,247912.58,66548.45,39339.78,7372.43,134651.92,116368.79,16387.42,1895.71
Jacksonville,2018-05-13 0:00,Conventional,1.15,208153.92,110626.2,10774.1,638.34,86115.28,38308.64,47656.64,150
Las Vegas,2018-05-13 0:00,Conventional,1.03,385318.21,93458.54,126320.84,6558.62,158980.21,73484.4,84849.14,646.67
Los Angeles,2018-05-13 0:00,Conventional,0.92,3344269.24,1278277.84,399397.03,71842.4,1594751.97,1471852.68,60427.89,62471.4
Louisville,2018-05-13 0:00,Conventional,0.92,137375.15,41977.36,21649.12,292.24,73456.43,49226.18,23111.36,1118.89
Miami/Ft. Lauderdale,2018-05-13 0:00,Conventional,1.37,741439.43,497729.55,49841.14,1932.36,191936.38,114720.95,77062.1,153.33
Midsouth,2018-05-13 0:00,Conventional,1.07,4342441.31,1099647,1505522.13,44296.53,1692975.65,1444150.28,235089.39,13735.98
Nashville,2018-05-13 0:00,Conventional,0.88,315855.29,152730.86,10897.05,1021.18,151206.2,113640.61,34957.81,2607.78
New Orleans/Mobile,2018-05-13 0:00,Conventional,1.09,335091.93,190194.96,20846.97,3198,120852,103778.93,16539.74,533.33
New York,2018-05-13 0:00,Conventional,1.16,2457535.66,76075.46,1556935.15,1051.67,823473.38,790721.83,28291.55,4460
Northeast,2018-05-13 0:00,Conventional,1.13,6694854.89,532678.76,4226211.87,8637.07,1927327.19,1578918.74,329328.98,19079.47
Northern New England,2018-05-13 0:00,Conventional,1.03,567730.66,46755.18,442879.63,842.56,77253.29,34630.47,41472.82,1150
Orlando,2018-05-13 0:00,Conventional,1.23,459103.68,282391.16,24753.96,2352.98,149605.58,87191.21,62074.37,340
Philadelphia,2018-05-13 0:00,Conventional,1.19,653609.37,56062.09,337649.77,912.2,258985.31,234587.67,21991.11,2406.53
Phoenix/Tucson,2018-05-13 0:00,Conventional,0.72,1322015.38,627209.88,249062.52,13381.87,432361.11,196250.48,230560.63,5550
Pittsburgh,2018-05-13 0:00,Conventional,0.99,201150.1,77576.74,32737.3,3447.64,87388.42,34497.68,52870.74,20
Plains,2018-05-13 0:00,Conventional,1.09,2338822.5,982516.72,590952.85,11506.23,753846.7,679277.27,72710.72,1858.71
Portland,2018-05-13 0:00,Conventional,1.11,787559.88,88217.4,288969.35,17796.76,392576.37,123797.45,268190.76,588.16
Raleigh/Greensboro,2018-05-13 0:00,Conventional,1.13,413181.34,125270.54,106551.17,6504.67,174854.96,161579.02,13265.94,10
Richmond/Norfolk,2018-05-13 0:00,Conventional,0.96,373616.78,82833.56,111125.55,2218.49,177439.18,152196.88,24908.97,333.33
Roanoke,2018-05-13 0:00,Conventional,0.9,233816.37,58613.27,46037.84,501.31,128663.95,111492.77,16667.85,503.33
Sacramento,2018-05-13 0:00,Conventional,1.24,528952.41,191712.67,248330.64,837.59,88071.51,80397.16,1005.77,6668.58
San Diego,2018-05-13 0:00,Conventional,1.01,541012.81,164526.67,146815.27,17441,212229.87,191483.07,18397.91,2348.89
San Francisco,2018-05-13 0:00,Conventional,1.28,861725.29,301044.06,402096.65,1537.53,157047.05,153195.1,326.25,3525.7
Seattle,2018-05-13 0:00,Conventional,1.29,687259.91,97772.62,188149.03,1417.05,399921.21,113695.42,285314.84,910.95
South Carolina,2018-05-13 0:00,Conventional,1.06,501042.16,240019.05,70940.3,4483.42,185599.39,139569.62,43095.32,2934.45
South Central,2018-05-13 0:00,Conventional,0.71,8628945.2,4000684.31,1009149.85,41197.62,3577913.42,3068604.64,442570.37,66738.41
Southeast,2018-05-13 0:00,Conventional,1.13,4973822.65,2818955.02,325867.85,22204.3,1806795.48,1208818.46,587285.91,10691.11
Spokane,2018-05-13 0:00,Conventional,1.23,106878.21,23299.33,29563.68,604.83,53410.37,18364.09,34906.66,139.62
St. Louis,2018-05-13 0:00,Conventional,1.16,215518.07,90750.89,10372.31,778.96,113615.91,86956.29,25755.97,903.65
Syracuse,2018-05-13 0:00,Conventional,1.16,105255.03,13650.82,47298.41,251.19,44054.61,19990.7,24063.91,0
Tampa,2018-05-13 0:00,Conventional,1.31,484405.57,311263.87,31561.65,1620.21,139959.84,80039.98,59693.19,226.67
West,2018-05-13 0:00,Conventional,0.98,7984513.6,2384040.92,1854037,128140.4,3618295.28,1247034.54,2353564.04,17696.7
West Tex/New Mexico,2018-05-13 0:00,Conventional,0.76,1076566.93,561984.4,183658.67,9769.63,321154.23,165953.17,152639.95,2561.11
Total U.S.,2018-05-20 0:00,Conventional,1.02,44458798.3,15391298.2,12092088.69,736111.95,16239299.46,11427676.19,4549192.2,262431.07
Albany,2018-05-20 0:00,Conventional,1.39,146026.55,16199.1,110553.33,75.68,19198.44,14577.68,4048.54,572.22
Atlanta,2018-05-20 0:00,Conventional,0.98,736214.03,351670.47,40771.19,1927.32,341845.05,236330.16,103347.12,2167.77
Baltimore/Washington,2018-05-20 0:00,Conventional,1.42,930182.46,107557.84,560449.17,7101.33,255074.12,244739.53,10251.26,83.33
Boise,2018-05-20 0:00,Conventional,1.05,120921.06,43959.7,7737.51,10587.99,58635.86,25041.55,33387.33,206.98
Boston,2018-05-20 0:00,Conventional,1.23,744286.38,29700.23,583766.75,760.23,130059.17,88436.9,39633.38,1988.89
Buffalo/Rochester,2018-05-20 0:00,Conventional,1.17,180612.53,13760.66,76674.02,58.53,90119.32,18276.47,70992.85,850
California,2018-05-20 0:00,Conventional,1.15,6107948.96,2181143.55,1982500.62,120959.29,1823345.5,1683407.24,47149.23,92789.03
Charlotte,2018-05-20 0:00,Conventional,1.15,320281.11,98384.47,102375.4,6325.45,113195.79,97998.67,15194.9,2.22
Chicago,2018-05-20 0:00,Conventional,1.24,895126.67,72407.4,515621.87,175271.83,131825.57,110010.62,20832.71,982.24
Cincinnati/Dayton,2018-05-20 0:00,Conventional,1.05,275586.88,71928.33,24159.82,12789.64,166709.09,153908.58,12766.19,34.32
Columbus,2018-05-20 0:00,Conventional,1,211785.38,54903.66,24187.07,3803.91,128890.74,102339.53,26543.91,7.3
Dallas/Ft. Worth,2018-05-20 0:00,Conventional,0.75,1637704.04,811125.72,249685.16,6537.09,570356.07,317365.41,234500.82,18489.84
Denver,2018-05-20 0:00,Conventional,1.02,958398.44,183950.96,211266.7,17845.51,545335.27,164955.46,380379.81,0
Detroit,2018-05-20 0:00,Conventional,1.14,406560.24,90812.23,42715.92,42864.09,230168,203887.71,15184.28,11096.01
Grand Rapids,2018-05-20 0:00,Conventional,1.41,190440.25,2713.22,92788.36,41129.8,53808.87,36578.65,4348.82,12881.4
Great Lakes,2018-05-20 0:00,Conventional,1.16,3906285.89,720476.27,1128379.12,379793.91,1677636.59,1367219.07,263225.28,47192.24
Harrisburg/Scranton,2018-05-20 0:00,Conventional,1.13,359663.65,85638.92,156449.12,555.42,117020.19,106912.79,7464.07,2643.33
Hartford/Springfield,2018-05-20 0:00,Conventional,1.29,399286.91,22807.18,297989.98,391.41,78098.34,75552.96,647.61,1897.77
Houston,2018-05-20 0:00,Conventional,0.51,2319971.72,1054280.07,136908.57,4065.99,1124717.09,1019285.89,104906.76,524.44
Indianapolis,2018-05-20 0:00,Conventional,1.11,206622.29,51243.06,38343.76,5460.02,111575.45,100076.83,10290.96,1207.66
Jacksonville,2018-05-20 0:00,Conventional,1.09,250961.6,141677.92,12572.53,586.55,96124.6,39328.9,56679.03,116.67
Las Vegas,2018-05-20 0:00,Conventional,1.12,340245.85,94964.22,100320.38,6661.26,138299.99,79959.85,57800.14,540
Los Angeles,2018-05-20 0:00,Conventional,1.04,2927652.39,1125760.52,488736.35,79717.52,1233438,1135814.57,32751.81,64871.62
